id,txt
126,"臺灣的 民主自由 活欲 瓦解 。"
127,"政府 佇 若親像 警察國家 的 武裝 保護 內頭 ，"
128,"自我開科 佇 歷史性 儀式的 想像 ，"
129,"佮 輪番的 啉酒攤 當中 ，"
130,"憲法 保障 人民的 言論自由 和 行動權利 ，"
131,"攏被按下 、 甚至袂記 。"
132,"警方 幾擺 向 抗議 群眾 夯牌仔 ，"
133,"毋過 學生 並無按算 退讓 。"
134,"𪜶 強調 ，"
135,"已經 毋是 維安 有無 過當 的 技術 問題 ，"
136,"嘛毋若是 政黨 認同 選擇的 問題 ，"
137,"這是 暴力化 的 國家政權 ，"
138,"對 市民 社會的 嚴重 惹空 佮 侵犯 。"
139,"敢講 欲強化 兩岸 經貿 交流 ，"
140,"嘛必須 透過 降低 臺灣的 民主自由 程度 ，"
141,"來達成 和 中國 仝款 極權統治 的 水準 ？"
142,"另外 ，"
143,"英國 臺灣協會 佇 五號 ，"
144,"針對 陳雲林 訪臺灣 發出 聲明 抗議 ，"
145,"認為 民主的 臺灣 ，"
146,"袂用得 亂煮來 違憲 以及 侵犯 自由 和 壓迫 人權 。"
147,"行政院 驅離 學生 轉往 自由廣場 靜坐"
148,"記者 林嘉琪 、 陳漩由 、 黃建華 、 劉慶侯 綜合報導"
149,"「 迎 『 陳 』 親像 戒嚴 」 ，"
150,"兩百幾名 大學師生 和 社運團體 ，"
151,"經過 網路 串連 ，"
152,"號召 大概 六百人 ，"
153,"連紲 兩工 佇 行政院 頭前 靜坐 ，"
154,"抗議 政府 對 中國海協會 會長 陳雲林 ，"
155,"進行 高標準的 「 戒嚴式 維安 動作 」 ，"
156,"嚴重 侵犯 臺灣 民眾 人身自由 。"
157,"𪜶 提出 ，"
158,"「 馬 、 劉 道歉 ， 官員 落台 ，"
159,"佮 立法院 修法 」 頂 三大 訴求 ，"
160,"毋過 苦坐 三十點鐘 了後 ，"
161,"毋但 未獲得 任何 回應 ，"
162,"顛倒 拄著 大批 警力 連搝兼捒 、"
163,"閣扛閣搦 送上 警備車 ，"
164,"多數 學生 激動 目屎流 。"
165,"警方 表示 ，"
166,"因為 學生 是對 臺大 PTT 集合 ，"
167,"因此 共 𪜶 載倒轉 臺大 。"
168,"毋過 師生𪜶 綴尾 轉往 自由廣場 集合 ，"
169,"繼續 抗議 ，"
170,"昨日 深夜 併組成 七人 決策小組 ，"
171,"推出 政大 臺灣歷史研究所 研究生 嚴婉玲 做頭 ，"
172,"未來 所有 行動 決策 ，"
173,"攏予 決策小組 議決 。"
174,"臺北市 警察局 中正一分局 表示 ，"
175,"發起 「 一一空六 活動 」 的 成員 ，"
176,"臺大 社會系 助理教授 李明璁 佮 學生 ，"
177,"佇 被驅離 以後 轉往 自由廣場 靜坐 ，"
178,"因為 目前 袂對 交通 造成 妨礙 ，"
179,"抑是 嘩嘩滾的 情形 ，"
180,"警方 夯牌仔 蒐證 了後 ，"
181,"暫時 無閣再 驅離 。"
182,"毋過 「 一一空六 活動 」 無經過 申請 獲准 ，"
183,"本身 就是 違法行為 ，"
184,"今仔日 閣看 狀況 ，"
185,"夯牌仔 警告 遏止 佮 蒐證 ，"
186,"閣按照 違反 集遊法 ，"
187,"共 𤆬頭的 李明璁 函送 地檢署 。"
188,"警方 港 昨暗是 空手 驅離 學生 佮 老師 ，"
189,"毋過 李明璁 出示 驗傷單 指控 ，"
190,"警察 暴力 浪權 違法 ，"
191,"伊講 家己 被 警察 驅離 了後 ，"
192,"七 、 八个 警察 圍咧拍 伊 ，"
193,"造成 手後具 、 腹肚 濟位 擦傷 ，"
194,"毋過 警方 強調 是 平和 咬人 扛走 併無拍膿 。"
195,"對 警方 幾若工 粗暴執法 ，"
196,"看袂慣 的 這批 師生 ，"
197,"頂工 自主 動員 集結佇 行政院 頭前 ，"
198,"抗議 「 人民 一步一跤印 建立的 民主自由 體制 ，"
199,"佇 陳雲林 來臺灣 期間 ，"
200,"已經被 這款 滿城 警力 、"
202,"破壞到 活欲 幫敗 」 ，"
203,"學生 提出 三大訴求 ："
204,"「 馬英九 、 劉兆玄 公開 向 國人 會毋著 」 、"
205,"「 警政署長 王卓鈞 、"
206,"國安局長 蔡朝明 下台 」 、"
207,"立法院 應該 較緊 修改 ，"
208,"限縮 人民 權利的 『 集會遊行法 』 。"
209,"學生 佇 靜坐 二十六點鐘 了後 ，"
210,"昨日 早起 行政院 秘書長 薛香川 ，"
211,"才毋願的 出面 安搭 ，"
212,"毋過 伊 出來 著講 ："
213,"「 政治 是 一時的 ， 毋過 做人 煞是 永遠的 。 」"
214,"引起 學生 高度 不滿 ，"
215,"對 伊 唱聲 ： 「 你是毋是人 ？ 」"
216,"學生講 ，"
217,"若是人 就應該 知影 尊重 人權 。"
218,"到下晡 四點 三十分 ，"
219,"警方 袋四界 夯 牌仔 了後 展開 驅逐 ，"
220,"學生 手勾著手 ，"
221,"峇峇 坐做伙 ，"
222,"喙喝 「 和平 、 人權 」 ，"
223,"猶是被 警方 一一 扛上 警備車 載離開 。"
224,"這个 靜坐 活動 嘛佇 南部 引起 回響 ，"
225,"高雄地區 十幾个 大學生 、"
226,"高中生 昨暝 前往 高雄市警察局 邊仔 靜坐 ，"
227,"表達 聲援 立場 ，"
228,"而且 唱聲 上北 加入 靜坐 。"
229,"美國 國會 宣佈 Obama 當選 地勢汁四任 總統"
230,"自由時報 報導"
231,"美國 國會 今仔日 正式 確認 ，"
232,"兩千空八年 十一月四號 總統大選 選舉 結果 ，"
233,"宣佈 Obama 當選 ，"
234,"美國 第四十四屆 ，"
235,"嘛是 第五十六任 美國 總統 。"
236,"根據 美國 法律 規定 ，"
237,"國會 必須 正式 計算 五十州 ，"
238,"佮 Columbia 特區 選舉人票 ，"
239,"然後 正式 宣佈 選舉 結果 。"
240,"美國 第 一百十一屆 國會 佇 六號 開議"
241,"參議院 佮 眾議院 今仔日 舉行 聯席 會議 ，"
242,"咧欲 卸任 的 副總統 Cheney ，"
243,"用 參院 議長 身份 ，"
244,"和 眾院 議長 Pelosi ，"
245,"兩人 共同 主持 會議 。"
246,"四位 事先 選好 的 國會 議員 ，"
247,"上台 宣讀 各州 的 投票 結果 。"
248,"Cheney 最後 正式 宣佈 ，"
249,"全國 五十州 佮 Columbia 特區 ，"
250,"攏總 五百三十八張 選舉人票 ，"
251,"由 贏 超過 兩百七十張 選舉人票 的 候選人 ，"
252,"當選 第五十六任 美國 總統 。"
253,"各州的 選舉人 投票 選舉 結果 ，"
254,"llinois-州 聯邦 參議員 ，"
255,"Obama 贏著 三百六十五張 ，"
256,"Arizona-tsiu1 聯邦 參議員 ，"
257,"McCain 贏著 一百七十三張 。"
258,"Obama 佮 競選 相鬥的 Biden ，"
259,"分別 當選 總統 佮 副總統 。"
260,"Cheney 宣佈 了後 ，"
261,"全體 參眾議員 徛起來 拍噗仔 致敬 。"
262,"由 Cheney 正式 宣佈 的 選舉 結果 文件 ，"
263,"未來 會 送到 美國 國家檔案局 保存 ，"
264,"了後 予 國會 官方 出版品 刊登 。"
265,"無薪假 爭議 勞工團體 提出 五大 訴求"
266,"自由時報 記者 鍾麗華報導"
267,"失業率 閣創 新懸 ，"
268,"「 無薪假 」 閣持續 湠開 ，"
269,"十幾个 勞工團體 、"
270,"倚幾千名 勞工 早起 包圍 勞委會 。"
271,"攑著 「 『 裁 』 神 到 」 、"
272,"「 官商勾結 、 勞工 受害 」 頂 標語 ，"
273,"抗議 勞委會 無能 解決 ，"
274,"企業 違法 放無薪假 問題 。"
275,"勞工團體 唱聲 ，"
276,"若是 勞委會 一禮拜內 無 具體 回應 ，"
277,"農曆年 欲發動 上千名 勞工 ，"
278,"到 總統府 頭前 「 圍爐 」 抗議 。"
279,"勞工團體 提出 五大 訴求 ："
280,"第一是 政府 必須 宣示 ，"
281,"企業 實施 無薪假 是 公然 違法 ；"
282,"第二 、 假使 企業 被迫 實施 無薪假 ，"
283,"嘛袂當 違反 勞工 基本 權益 ；"
284,"第三 、 建立 無薪假 通報 系統 ，"
285,"禁止 企業 違法 實施 無薪假 ；"
286,"第四 、 擴大 對 弱勢 勞工 蘇睏 ，"
287,"反對 政府 無條件 對 企業 蘇睏 ；"
288,"第五 、 暫停 倩用 外勞 ，"
289,"擴大 對 本國 勞工 倩用 。"
290,"不過 ，"
291,"由於 勞委會 主委 王如玄 佇 行政院 開會 ，"
292,"副主委 煞講 「 另有 行程 」 ，"
293,"拖延 規半晡 無人 接見 勞工團體 。"
294,"引發 勞工 不滿 ，"
295,"一時 情緒 激動 ，"
296,"向著 勞委會 大門 捒 ，"
297,"按算 硬欲入去 ，"
298,"最後 才由 技監 林振裕 ，"
299,"出面 接受 陳情 。"
300,"佇 高雄 做 電子業 的 王先生 表示 ，"
302,"一個月 干焦 上班 十工 到 十五工 ，"
303,"薪水 干焦賰 一半 。"
304,"一家口 五个人 攏倚靠 依 ，"
305,"王先生 講 ，"
306,"伊 實在 擔心 未來 囡仔 的 學費 、"
307,"生活費 應該 對搭來 ？"
308,"做 運輸業 的 陳先生 嘛講 ，"
309,"以往 景氣好 的 時陣 ，"
310,"逐個月 上少有 五萬 五千箍 ，"
311,"但是 公司 實施 無薪假 以後 ，"
312,"伊 一個月 干焦賰 兩萬箍 。"
313,"伊有 厝宅 貸款 壓力 ，"
314,"猶有 囡仔 欲飼 ，"
315,"未來 欲按怎 ？"
316,"嘉義 破獲 上大宗 走私 瘦肉精"
317,"民視新聞報導"
318,"雲林縣 偵查隊 經過 半年的 追蹤 ，"
319,"佇 嘉義 查獲 走私 中國 瘦肉精 原料的 集團 ，"
320,"閣製成 瘦肉精 販賣予 國內 飼豬戶 的 案件 ，"
321,"攏總 查扣 十八公斤 乙型受體素 ，"
322,"會使 製作出 三千六百公斤 的 瘦肉精 ，"
323,"數量 驚人 嘛是 目前 國內 查獲的 上大宗 ，"
324,"警方 根據 線報 ，"
325,"來到 嘉義 這間 倉庫 大搜查 ，"
326,"破獲 製作 瘦肉精 的 原料 乙型受體素 十八公斤 ，"
327,"以及 瘦肉精 的 成品 佮 半成品 ，"
328,"攏總 逮捕 包括 姓林 主嫌 頂 餓名 嫌犯 。"
329,"紙箱內 裝著 一包 一包 的 乙型受體素 ，"
330,"這是 國內 頭擺 發現的 禁藥 ，"
331,"每公斤 受體素 ，"
332,"會使 製作 兩百公斤 的 瘦肉精 ，"
333,"飼豬戶 通常 為著 增加 豬肉 價數 ，"
334,"私底下 亂使用 禁止使用 的 瘦肉精 ，"
335,"每公斤 的 瘦肉精 ，"
336,"會使 添加 一千公斤 的 飼料 ，"
337,"經過 添加 瘦肉精 ，"
338,"會使 促進 卵白質 合成 ，"
339,"予 豬隻 生瘦肉 、 減少 肥油 ，"
340,"毋過 食用 過量 會造成 心慒 、"
341,"心筅 等等 中毒 症頭 。"
342,"佇國內 屬於 禁藥 ，"
343,"毋過 嫌犯 否認 犯案 ，"
344,"警方 除了 繼續 突破 伊的 心防 ，"
345,"⿳ㄨㄢ⿳⿳ㄋㄚˋ欲 追查 遮的 瘦肉精 的 流向 ，"
346,"保障 民眾的 飲食安全 。"
347,"王腱眠 禮拜二 倒轉來 臺灣"
348,"記者 鄭又嘉 臺北 報導"
349,"佇 美國 復健了 大半个 球季 ，"
350,"王健眠 總算 買轉來婭 ，"
351,"伊 按算佇 十一月 十一號 這拜二 倒轉來 臺灣 ，"
352,"佇 目𥍉久 歇-睏 了後 都展開 密集 公開活動 ，"
353,"予 孜孜等 伊 規年的 球迷𪜶 一擺 看過癮 。"
354,"腱仔 欲佇 十一號 的 早起 到臺灣 ，"
355,"綴尾到 飯店 略仔歇-睏 ，"
356,"當工 早起 十一點 都有 記者會 ，"
357,"回國 以後 伊的 頭擺 公開行程 ，"
358,"都是 十一月 二十一號 到 屏東 領 十大青年 獎座 ，"
359,"了後 會出席 八 到 十个 商業活動 ，"
360,"今年 健仔 贊助商 除了 新增加 一間 酒商 ，"
361,"其他 大約 和 舊年 仝款 。"
362,"而且 這段 時間 健仔 轉來 臺灣 並無輕鬆 ，"
363,"除了 體能 教練 區出的 菜單 以外 ，"
364,"又閣愛 強化 跤具 受傷 部位 ，"
365,"逐工 開用 四點鐘 佇 訓練 面頂 ，"
366,"加上 出席 各種 活動 以及 陪伴 厝內人 ，"
367,"私人 的 時間 相當少 。"
368,"經紀 代表 Michie Iwamoto 認為 ，"
369,"這擺 王鍵眠 轉來 臺灣 「 會有寡仔 辛苦 」 ，"
370,"因此 希望 會當 鬥相共 伊 完成 「 踅夜市仔 」 的 夢想 ，"
371,"下予 胘仔 佇 故鄉 臺南 出門 四界踅 ，"
372,"嘛希望 毋通 引起 傷濟滾絞 。"
373,"而且 前隊友 Bobby Abreu 佇 十二月初 會來 臺灣 ，"
374,"Michie Iwamoto 嘛表示 ，"
375,"只要 會通 事先 通知 到臺灣 的 時間 ，"
376,"腱仔 一定會 真樂意 盡到 在地人禮數 ，"
377,"𤆬 Bobby Abreu 試食 臺灣好料理 。"
378,"至於 明年 一月初 Yankee 舉辦的 投捕 訓練營 ，"
379,"因為 Yankee 的 總經理 Brian Cashman 親自 邀請 伊 參加 ，"
380,"原本 按算 彼時陣 欲去 美國的 健仔 要佇考慮 ，"
381,"毋久 Cashman 表示 ，"
382,"若是 腱仔 需要 提前到 Arizona 自主訓練 ，"
383,"Yankee 絕無勉強 伊 出席 ，"
384,"一切 攏以 明年 球季 做重心 。"
385,"檢察官 陳瑞仁 表示 辦案 不應該 敧孤爿"
386,"民視 報導"
387,"這站仔 檢調 連續 收押 臺灣派 人士 ，"
388,"引發 政治 利用 司法 追殺的 掛慮 ，"
389,"和 法界 攏出現 檢討 聲浪 ，"
390,"曾經 承辦 國務 機要費 案件的 檢察官 陳瑞仁 講 ，"
391,"辦案 應該 避免 集中 辦藍 或是 辦綠 ，"
392,"共 辦案的 對象 敧孤爿 ，"
393,"不只 按呢 ，"
394,"特偵組 逐工 綴著 電視 名喙的 指揮 佇辦案 ，"
395,"違反 偵查 無公開的 原則 ，"
396,"嘛予 立委 看著 直幌頭 ，"
397,"袂赴看 的 政論性 節目 ，"
398,"膨風的 標題 ，"
399,"對 陳水扁 五二空 卸任 ，"
400,"改列為 國務機要費 被告 以後"
402,"同時 行指導棋 ，"
403,"這馬 陳水扁 被收押 以後 ，"
404,"民進黨 立委 事後 驗證 ，"
405,"檢調 辦案 攏綴著 名喙 佇行 。"
406,"若是講 檢調 違反 偵查 無公開 ，"
407,"恐驚 有足濟人 攏 點滴在心頭 ，"
408,"因為 就算 曾經 偵辦 國務機要費 的 檢察官 陳瑞仁 ，"
409,"嘛佇 一場 檢察 改革 研討會上 公開講 ，"
410,"檢察體系 辦案 應該 避免 共 辦案 對象 敧孤爿 ，"
411,"集中 辦藍 或是 辦綠 ，"
412,"現場 高等法院 法官 呂太郎 嘛講 ，"
413,"如果 執政黨 、 在野黨 攏有人 涉嫌 貪污 ，"
414,"結果 檢察官 掠的 攏是 仝一黨的人 ，"
415,"雖然 自認 辦案 攏有 證據 ，"
416,"但是 敢講 攏無 選擇性 辦案的 問題 ，"
417,"如果 連 檢察官 攏有 這款的 疑慮 ，"
418,"若欲講 背後 無 政治 操作 ，"
419,"又閣有啥 欲相信 ？"
420,"莫怪 一直有 馬英九 下令 收押 陳水扁 的 風聲 不斷流傳 ，"
421,"檢調 背後 恐驚 真的有 一雙 無形的 政治 烏手 。"
422,"涉嫌 收賄 被求刑 十五年 蘇治芬 當庭 釋放"
423,"自由時報報導"
424,"記者 廖淑玲 虎尾報導"
425,"雲林地檢署 昨日 下晡 以 貪污治罪條例 起訴 雲林縣長 蘇治芬 ，"
426,"柄求刑 十五年 、 褫奪公權 八年 ，"
427,"雲林地方法院 昨日 暗時 十點 召開 移審庭 ，"
428,"雲檢 主任檢察官 陳文哲 ，"
429,"和 蘇治芬 的 辯護律師 李進勇 、 顧立雄 、 蔡易餘 為就是毋是 延押 激烈攻防 ，"
430,"到暗時 十一點半 ， 法院 裁定 ，"
431,"蘇治芬 當庭 釋放 、 但 限制 徛起 。"
432,"對於 法院的 裁定 ，"
433,"雲檢 表示 尊重 ， 無 欲提出 抗告 。"
434,"蘇治芬 佇法庭上 知影 被釋放時 ，"
435,"當場 佇 紙條仔 寫落 ，"
436,"「 請賜我 原諒 別人 ， 加添佇 我身軀頂 所受的 苦的力量 ，"
437,"請焐我 佇我 未來的路上 更加捌 照顧 受難的人 」 ，"
438,"短短幾字 ，"
439,"說明 伊心內的 感觸 。"
440,"今仔日 透早 ，"
441,"蘇治芬 佇 小妹 蘇治宇 、 縣議員 劉建國 的 扶插下 ，"
442,"神情 𤺪𤺪的 行出 合議庭 ，"
443,"當等佇 現場 的 支持者 歡喜 無煞 ，"
444,"伊講 ， 聽著 當庭 釋放時 ，"
445,"伊的內心 無喜樂 ，"
446,"因為 猶有 足濟人 猶佇受苦 ，"
447,"伊 感謝 朋友 佮 鄉親 的 支持 ，"
448,"毋過 誠濟人 無親像伊 遮爾 好運 被釋放矣 。"
449,"蘇治芬 因為 涉嫌 璟美環保公司 佮 長庚醫院 雲林分院 收紅包弊案 ，"
450,"這個月 四號 無經傳訊 州被 拘押 ，"
451,"蘇治芬 用絕食 抗議 司法無公 ，"
452,"到昨日 深夜 ，"
453,"絕食超過 兩百五十點鐘 。"
454,"雲林地方法院 昨日 暗時 召開的 移審庭 ，"
455,"由 法官 吳福森 、 李淑惠 、 黃楹榆 組成 合議庭 ，"
456,"為求得 公證 ，"
457,"特別 開放 媒體 採訪 佮 旁聽 ；"
458,"眾多 支持者 佇 雲林地檢署 外面 用 蠟燭 排做 「 HOME 」 的 字型 ，"
459,"請求 院方 無罪放人 。"
460,"合議庭中 ，"
461,"二重 檢察官 陳文哲 佇法庭上 論述 檢方 意見 ，"
462,"認為 蘇治芬 涉案的 情節重大 ，"
463,"應該 繼續 拘押 。"
464,"蘇治芬 是 上戰線 為家己 辯護 ，"
465,"毋過 𪜶幾若工 無食飯 穡體力 ，"
466,"伊 請求 坐著 回答 。"
467,"伊分別 舉出 起訴書 罪項 內容 不符事實 ，"
468,"根本 無法證實 伊有提錢 、 共啥提錢 、 啥人予的錢 ，"
469,"甚至 伊已經要求 當時的 副縣長 林源泉 退還 支票 ，"
470,"檢方 煞出現 五百萬 、 三百萬 頂 濟款版本 ，"
471,"至於 長經按 更加和 縣府業務 無關 ，"
472,"種種 罪名 雨衣 無法接受 。"
473,"律師 李進勇 、 顧立雄 用 檢方 起訴書 內容 ，"
474,"對 蘇治芬 收賄 五百萬 、 三百萬 、 兩千一百萬 ，"
475,"講法真濟款 ，"
476,"而車無法 確定 有錢流入 蘇治芬 的 橐袋仔 或是 戶頭 ，"
477,"顯然 收受貨款 部份的 嫌疑不足 ，"
478,"而車 檢方 規本 起訴書 攏以 葉安耕 說詞 做起訴旅遊 ，"
479,"毋過 根據 律師團 了解 ，"
480,"葉安耕 翁仔某 被拘押 兩個月 ，"
481,"名顯示 這對 翁仔某 被拘押 傷久 、 無正當 取經 。"
482,"李進勇 並且 質疑 檢方 直接 區提 蘇治芬 ，"
483,"行為粗暴 、 袂沈仙判 ，"
484,"司法 輪做 政治的 拍手 ，"
485,"對 璟美案 閣牽拖出 長經 案外案 ，"
486,"有 本案 拘押 、 它按 取經的 陰謀 。"
487,"第院 裁定 當庭 釋放 ，"
488,"李進勇 感覺 十分安慰 ，"
489,"明顯 該案 無構成 拘押要件 ，"
490,"拘押的 理由 根本 無存在 。"
491,"農民 表示 問題 出佇 價數 毋是 佇 運送 時間"
492,"記者 徐夏蓮 、 謝鳳秋 、 蔡智銘 、 流玩灶 綜合報導"
493,"臺中縣 報關公會 理事長 林阿堅 昨日 表示 ，"
494,"佇 雙方 攏有 快速通關 、"
495,"互派 檢疫人員 佇產地 檢疫 的 情形暇"
496,"兩點鐘 完成 通關 毋是難殊 ；"
497,"毋過 政府 愛思考 ，"
498,"農產品 買賣 一定是 兩爿 開放的 ，"
499,"臺灣水果 價數懸 無容易 賣到 中國 ，"
500,"顛倒 中國水果 價數俗 會傾銷 臺灣 ，"
502,"會造成 臺灣 物價敧孤爿 ，"
503,"政府 較無法 掌握 物價 ，"
504,"而且 中國食品 佮 農產品 ，"
505,"生產 、 衛生 安全標準 佮 臺灣 無仝款 。"
506,"捌 外銷 農產品 到 中國的 農民 黃耀德 講 ，"
507,"用 冷傱技術 來講 ，"
508,"八工 佮 兩工 運送時間 無差別 ，"
509,"問題 出在於 臺灣農產品 生產 成本懸 ，"
510,"中國 干焦少數 高消費 族群 食會起 ，"
511,"而且 中國生理人 尾 臺灣水果 四常使暗計 ，"
512,"出貨前 講 柑仔 一公斤 新臺票 二十五可"
513,"貨運到 煞講 干焦用 十二箍 尾 ，"
514,"閣運轉來 成本袂合 ，"
515,"只好 賠錢袂 ，"
516,"黃耀德 嘛指出 ，"
517,"中國 偷抾 農產 技術 盡緊 ，"
518,"親像 玉侯包 第一年 真好袂 ，"
519,"一公斤 新臺票 八十箍 以上 ，"
520,"不過 第二年 中國農民 都種出 十五箍 的 玉侯包 ，"
521,"甜柿仔 嘛仝款 ，"
522,"中國 佮 日本 慧度 差不多的 所在"
523,"比 臺灣 較適合 腫甜柿仔 ，"
524,"如果 中國 𪜶的 甜柿仔 嘛袂到 臺灣 ，"
